epoch,loss,accuracy,val_loss,val_accuracy
1,1.3666330656385035,0.49065040650406505,0.8651538305468374,0.6964285714285714
2,0.6933586062454595,0.7556910569105691,0.6651907199388974,0.7646103896103896
3,0.4935563811441747,0.8333333333333334,0.5716425892594573,0.7954545454545454
4,0.3714356110347965,0.8695121951219512,0.6018724557641265,0.801948051948052
5,0.3050205888786936,0.8951219512195122,0.48996741818143175,0.8262987012987013
6,0.28962902569673893,0.8951219512195122,0.46984499267169405,0.8474025974025974
7,0.23938232432535994,0.9154471544715447,0.47827067855116606,0.8409090909090909
8,0.21004895730231835,0.9296747967479675,0.503036089531787,0.8441558441558441
9,0.21246245721491372,0.9284552845528455,0.4984527005777731,0.8457792207792207
10,0.16775688553849857,0.9402439024390243,0.5444474367352276,0.8441558441558441
11,0.12201221955985558,0.959349593495935,0.5384514691767754,0.8425324675324676
12,0.10693887869517009,0.9666666666666667,0.527364123951305,0.849025974025974
13,0.09307056222625865,0.9747967479674797,0.539682987448457,0.8441558441558441
14,0.10443243590312276,0.9654471544715447,0.5163982131264426,0.8522727272727273
15,0.08354269822196263,0.974390243902439,0.5172212669601688,0.8538961038961039
16,0.07796985361634232,0.9768292682926829,0.5265997187657789,0.8506493506493507
17,0.06941248844794141,0.9800813008130081,0.5289257892540523,0.8522727272727273
18,0.07568092782322954,0.9788617886178862,0.5120437489701556,0.8603896103896104
19,0.07152461107911133,0.9796747967479674,0.5422031558179236,0.8522727272727273
20,0.07173225527129522,0.9792682926829268,0.5155524212818641,0.8603896103896104
21,0.09133763439287015,0.9682926829268292,0.5480852351560221,0.8506493506493507
22,0.07647332769583881,0.9792682926829268,0.528058511870248,0.8522727272727273
23,0.06485923153719282,0.9768292682926829,0.533163701559042,0.8457792207792207
24,0.0721925009920345,0.9776422764227642,0.5287927822633223,0.8538961038961039
25,0.06940002850885314,0.9792682926829268,0.5403843533683133,0.8522727272727273
26,0.07617072151686118,0.9768292682926829,0.5129005142620632,0.8587662337662337
27,0.0682035964194352,0.9813008130081301,0.5196539376463208,0.8571428571428571
28,0.07353579863542464,0.9776422764227642,0.5063008739576711,0.8636363636363636
29,0.06893203876367429,0.9813008130081301,0.4967716510419722,0.862012987012987
30,0.06726667244381052,0.9804878048780488,0.5340702359552507,0.8474025974025974
31,0.07306431787527673,0.9780487804878049,0.5360405367690247,0.8538961038961039
32,0.06614195268025727,0.9813008130081301,0.545326808056274,0.8522727272727273
33,0.08143924594652362,0.9723577235772358,0.5374083828616452,0.8538961038961039
34,0.0721619750607789,0.9796747967479674,0.5129913467091399,0.8571428571428571
35,0.07641702438515376,0.9752032520325203,0.5405929994273495,0.8522727272727273
36,0.08463568015069496,0.9719512195121951,0.5305070323603494,0.8538961038961039
