epoch,loss,accuracy,val_loss,val_accuracy
1,1.5553605069959067,0.37682926829268293,1.2870103786518048,0.5194805194805194
2,1.0475675847472214,0.591869918699187,0.9569795062015582,0.6590909090909091
3,0.7908785260789762,0.7065040650406504,0.693404906755918,0.775974025974026
4,0.6526364630799952,0.7719512195121951,0.6470954038880088,0.7808441558441559
5,0.5593261048561189,0.8020325203252032,0.7738969109275124,0.7516233766233766
6,0.4985395703858476,0.8308943089430895,0.6828302617196913,0.7597402597402597
7,0.45521588877933783,0.8447154471544716,0.46128628315863673,0.849025974025974
8,0.3763999850769353,0.8699186991869918,0.5434672019698403,0.8327922077922078
9,0.3710952665747666,0.8674796747967479,1.0012460041355777,0.676948051948052
10,0.3484095809420919,0.8796747967479674,0.49905316512306014,0.8376623376623377
11,0.32939331766551105,0.8886178861788618,0.5986087554460996,0.8214285714285714
12,0.2096598604103414,0.9296747967479675,0.5061241202540212,0.8506493506493507
13,0.1729886804654346,0.9382113821138212,0.4956343739063709,0.8668831168831169
14,0.14539534023137596,0.9508130081300813,0.46549455415118823,0.875
15,0.1417776604130016,0.9516260162601626,0.6881438716278447,0.8425324675324676
16,0.11868109982915041,0.958130081300813,0.5023216187179863,0.8717532467532467
17,0.1056750095562964,0.9601626016260163,0.5049014600453439,0.8685064935064936
18,0.09764789127237429,0.96869918699187,0.5028743370399846,0.875
19,0.10777735519942229,0.9621951219512195,0.5355272918165505,0.8701298701298701
20,0.10018616779063776,0.9650406504065041,0.5337341362005704,0.8685064935064936
21,0.0948456323667755,0.9682926829268292,0.5472134920683774,0.8652597402597403
22,0.09202991973578445,0.9626016260162602,0.550558608460736,0.8685064935064936
23,0.08554902443798577,0.9719512195121951,0.5451972337512226,0.8701298701298701
24,0.09581500624980384,0.9678861788617886,0.5499812020109845,0.8701298701298701
25,0.09906250811446973,0.9662601626016261,0.5470509304628743,0.8685064935064936
26,0.09680972594798096,0.9654471544715447,0.5484794142184319,0.8668831168831169
27,0.09833197739974754,0.9658536585365853,0.5519682416668186,0.8668831168831169
28,0.09343907608067602,0.9678861788617886,0.5519678447540705,0.8668831168831169
29,0.09552952727772356,0.9654471544715447,0.5520065084293291,0.8668831168831169
30,0.0864550072427203,0.9695121951219512,0.5523717293104569,0.8668831168831169
31,0.09617667373845248,0.9662601626016261,0.5521693459965966,0.8668831168831169
32,0.09424687560980882,0.9634146341463414,0.5522196647021678,0.8668831168831169
33,0.09078084813446048,0.9678861788617886,0.5522274827802336,0.8668831168831169
34,0.09274915038206713,0.9707317073170731,0.5522611452774568,0.8668831168831169
35,0.09657744251009895,0.9662601626016261,0.5522128566131963,0.8668831168831169
36,0.08952065376731438,0.9739837398373984,0.5523133074695413,0.8668831168831169
37,0.08922813042877166,0.9703252032520325,0.552249100688216,0.8668831168831169
