epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6345528364181519,9.999999747378752e-05,0.9799062609672546,0.7240259647369385,1.0757871866226196
1,0.8239837288856506,9.999999747378752e-05,0.4892176687717438,0.7873376607894897,0.6968995332717896
2,0.8723577260971069,9.999999747378752e-05,0.3621019124984741,0.7954545617103577,0.689933717250824
3,0.8967479467391968,9.999999747378752e-05,0.30244681239128113,0.8279221057891846,0.5562305450439453
4,0.9207317233085632,9.999999747378752e-05,0.2299719601869583,0.8327922224998474,0.4779185652732849
5,0.9207317233085632,9.999999747378752e-05,0.23281143605709076,0.8246753215789795,0.5531004667282104
6,0.9191057085990906,9.999999747378752e-05,0.22418496012687683,0.8214285969734192,0.6145328879356384
7,0.9296748042106628,9.999999747378752e-05,0.20422179996967316,0.823051929473877,0.5816508531570435
8,0.9516260027885437,1.9999999494757503e-05,0.1449173092842102,0.8603895902633667,0.4351801574230194
9,0.9764227867126465,1.9999999494757503e-05,0.09001696109771729,0.8636363744735718,0.43021243810653687
10,0.9739837646484375,1.9999999494757503e-05,0.08276933431625366,0.8587662577629089,0.48408007621765137
11,0.9739837646484375,1.9999999494757503e-05,0.08080196380615234,0.8620129823684692,0.4674396216869354
12,0.9772357940673828,1.9999999494757503e-05,0.07161633670330048,0.8733766078948975,0.46393540501594543
13,0.9792683124542236,3.999999989900971e-06,0.06413096934556961,0.875,0.4660992920398712
14,0.9882113933563232,3.999999989900971e-06,0.051904741674661636,0.8782467246055603,0.4699206054210663
15,0.98008131980896,3.999999989900971e-06,0.05886315554380417,0.8782467246055603,0.46453961730003357
16,0.9833333492279053,8.000000093488779e-07,0.05772363394498825,0.875,0.46416622400283813
17,0.9845528602600098,8.000000093488779e-07,0.05270373821258545,0.8733766078948975,0.464338481426239
18,0.9821138381958008,8.000000093488779e-07,0.056387923657894135,0.8766233921051025,0.4627782106399536
19,0.9861788749694824,1.5999999902760464e-07,0.048608243465423584,0.8717532753944397,0.4637417495250702
20,0.9853658676147461,1.5999999902760464e-07,0.05208875983953476,0.875,0.463123083114624
21,0.9821138381958008,1.5999999902760464e-07,0.05628329515457153,0.875,0.46342477202415466
22,0.9817073345184326,3.199999909497819e-08,0.0535135418176651,0.8766233921051025,0.4648262560367584
23,0.9841463565826416,3.199999909497819e-08,0.05291716381907463,0.8717532753944397,0.4640337824821472
24,0.9841463565826416,3.199999909497819e-08,0.05393074452877045,0.8733766078948975,0.4643452763557434
