train_loss,val_loss,train_acc,val_acc,learning_rate
1.8415713619876217,1.7629135131835938,0.21260162601626018,0.25811688311688313,0.0001
1.775663244259822,1.7157272338867187,0.2634146341463415,0.25162337662337664,0.0001
1.7077955410077974,1.62105712890625,0.2939024390243902,0.3782467532467532,0.0001
1.6584434540240796,1.6591678619384767,0.3252032520325203,0.32142857142857145,0.0001
1.6210426448227524,1.6440031051635742,0.3378048780487805,0.3246753246753247,0.0001
1.6023966306215758,1.528334617614746,0.3443089430894309,0.413961038961039,0.0001
1.5731969421560115,1.5388879299163818,0.3638211382113821,0.3961038961038961,0.0001
1.5558364035247207,1.4920948028564454,0.37682926829268293,0.4107142857142857,0.0001
1.5240246506480428,1.4787957191467285,0.3926829268292683,0.4318181818181818,0.0001
1.518195754521853,1.4396470069885254,0.3910569105691057,0.43993506493506496,0.0001
1.4846554112124752,1.5068727016448975,0.4008130081300813,0.42857142857142855,0.0001
1.4791908264160156,1.4558360815048217,0.40528455284552845,0.44642857142857145,0.0001
1.4732675289178823,1.4216914772987366,0.41747967479674797,0.4431818181818182,0.0001
1.4822348263356593,1.416627621650696,0.41260162601626016,0.4318181818181818,0.0001
1.455857363614169,1.3907448053359985,0.40691056910569107,0.4496753246753247,0.0001
1.437808219488565,1.503836441040039,0.41260162601626016,0.4318181818181818,0.0001
1.4352069319068612,1.3882708966732025,0.4219512195121951,0.44155844155844154,0.0001
1.4247462362438053,1.338405466079712,0.4239837398373984,0.46266233766233766,0.0001
1.3974417974422504,1.4065750598907472,0.4373983739837398,0.45292207792207795,0.0001
1.3990549530301775,1.3292986273765564,0.43902439024390244,0.4788961038961039,0.0001
1.4014985452998767,1.3100162625312806,0.44065040650406506,0.4805194805194805,0.0001
1.38772748197828,1.3681115686893464,0.4459349593495935,0.4659090909090909,0.0001
1.3917340473695234,1.3136868715286254,0.4491869918699187,0.49188311688311687,0.0001
1.3832144690798474,1.3284349679946899,0.4410569105691057,0.4577922077922078,0.0001
1.3712140522994005,1.3522352576255798,0.4479674796747967,0.4675324675324675,0.0001
1.3356036443214911,1.2856192409992218,0.45975609756097563,0.487012987012987,2e-05
1.344556398205943,1.2903514921665191,0.4589430894308943,0.4788961038961039,2e-05
1.3077742697356582,1.3025949239730834,0.483739837398374,0.48863636363636365,2e-05
1.3274355445589339,1.3052627265453338,0.48252032520325205,0.48214285714285715,2e-05
1.309505115855824,1.2991752326488495,0.4922764227642276,0.48863636363636365,2e-05
1.306582549949745,1.289052128791809,0.4760162601626016,0.4837662337662338,4.000000000000001e-06
1.319953020516928,1.2841139256954193,0.4678861788617886,0.48538961038961037,4.000000000000001e-06
1.3168870783471442,1.2895607471466064,0.4686991869918699,0.487012987012987,4.000000000000001e-06
1.324044935114972,1.2916093945503235,0.4739837398373984,0.487012987012987,4.000000000000001e-06
1.3166059874869012,1.2791579127311707,0.48333333333333334,0.48863636363636365,4.000000000000001e-06
1.3164196726563688,1.2692971587181092,0.47520325203252034,0.48863636363636365,4.000000000000001e-06
1.3122385306791826,1.2798387169837953,0.4796747967479675,0.4902597402597403,4.000000000000001e-06
1.3083261623011007,1.2792030334472657,0.4894308943089431,0.48863636363636365,4.000000000000001e-06
1.3107818457987401,1.285032081604004,0.48252032520325205,0.48538961038961037,4.000000000000001e-06
1.3065818145677641,1.2903446972370147,0.4926829268292683,0.487012987012987,4.000000000000001e-06
1.294090106889799,1.2844662070274353,0.4878048780487805,0.4837662337662338,8.000000000000002e-07
1.3107876313197149,1.2830129265785217,0.4813008130081301,0.48538961038961037,8.000000000000002e-07
1.3048619465394453,1.281373882293701,0.4817073170731707,0.48538961038961037,8.000000000000002e-07
1.306402799371001,1.281882244348526,0.4768292682926829,0.48538961038961037,8.000000000000002e-07
1.3059704086997292,1.2815466403961182,0.47845528455284553,0.48538961038961037,1.6000000000000006e-07
1.312385184424264,1.2810623288154601,0.49065040650406505,0.4837662337662338,1.6000000000000006e-07
1.3241713062509315,1.2803309321403504,0.48252032520325205,0.4837662337662338,1.6000000000000006e-07
1.31050494429353,1.2797439992427826,0.474390243902439,0.4837662337662338,1.6000000000000006e-07
1.3079708086979853,1.279669350385666,0.4788617886178862,0.4837662337662338,1e-07
1.3089710195343216,1.2798125088214873,0.48739837398373986,0.4837662337662338,1e-07
1.3074027361807885,1.2792996644973755,0.4865853658536585,0.4837662337662338,1e-07
