train_loss,val_loss,train_acc,val_acc
0.6613325206217943,0.7494895373071943,0.7629285299244625,0.6867749419953596
0.4551909273421323,0.32629321089812685,0.8756536897152818,0.9095127610208816
0.3551583339770635,0.26484242507389616,0.8971528181289947,0.9303944315545244
0.3208372581888128,0.24592172567333495,0.9116792562463684,0.951276102088167
0.2706191630827056,0.1918850296310016,0.9296920395119117,0.9489559164733179
0.24486862288581002,0.1713423633149692,0.9355026147588611,0.9582366589327146
0.22243975985933234,0.20424522778817586,0.9413131900058106,0.9396751740139211
0.20696227390457084,0.14319797711712973,0.9506101104009297,0.9698375870069605
0.2004464424594685,0.12970939544694765,0.9494479953515398,0.974477958236659
0.17617103609221954,0.11211106074707848,0.9535153980244044,0.9721577726218097
0.16956417621285827,0.10614339794431414,0.9546775130737943,0.9698375870069605
0.16229738488241477,0.09734044543334416,0.9570017431725741,0.9791183294663574
0.15343687890304458,0.10320804534213883,0.9587449157466589,0.9767981438515081
0.1370851310590903,0.1011474249618394,0.9593259732713538,0.9767981438515081
0.14153972626836211,0.10559347032436303,0.957582800697269,0.974477958236659
0.13559853375233985,0.07884966289358479,0.9668797210923882,0.9814385150812065
0.12082830223220366,0.07456102621342454,0.9662986635676932,0.9814385150812065
0.1214757703796581,0.0853333380073309,0.9662986635676932,0.9791183294663574
0.1149537240465482,0.07883201113768987,0.9674607786170831,0.9767981438515081
0.11684422436411734,0.07381658123007842,0.9645554909936084,0.9837587006960556
0.11029706081306492,0.08060541243425437,0.9709471237652527,0.9791183294663574
0.11251765282617675,0.07214182987809181,0.9657176060429983,0.9767981438515081
0.11143474025582825,0.07975047773548535,0.9668797210923882,0.9721577726218097
0.11235082742792589,0.07384776909436498,0.9633933759442185,0.9698375870069605
0.10101735867835858,0.06888185468103204,0.9744334689134224,0.9814385150812065
0.10302454695381501,0.05744580764855657,0.9674607786170831,0.9907192575406032
0.09098772835676316,0.08558635972440243,0.9750145264381174,0.9698375870069605
0.09482799325552252,0.06298278298761163,0.9721092388146426,0.9837587006960556
0.09901183436590212,0.05701738729008606,0.9709471237652527,0.988399071925754
0.09453850549956162,0.05937885147120271,0.9761766414875073,0.9837587006960556
0.08947392277143619,0.06019618122705391,0.9715281812899477,0.9837587006960556
0.07702971601651774,0.054983608690755706,0.9808251016850669,0.9930394431554525
0.07880921247932646,0.06689987664244004,0.9761766414875073,0.9814385150812065
0.08266840688884258,0.05501100846699306,0.9755955839628123,0.9860788863109049
0.08813905453792324,0.053051505503909926,0.9726902963393376,0.988399071925754
0.08179891475096897,0.05633817267205034,0.9732713538640325,0.9860788863109049
0.084645995180364,0.056563970765897205,0.9732713538640325,0.988399071925754
0.08343360069449302,0.057331052741834095,0.9755955839628123,0.9860788863109049
0.07026181597676542,0.06161472760140896,0.9755955839628123,0.9860788863109049
0.07437335265179475,0.04609260029558625,0.9755955839628123,0.988399071925754
0.0702772758970106,0.05508233473769256,0.9808251016850669,0.9860788863109049
0.07893518848275696,0.05045385020119803,0.9785008715862871,0.9860788863109049
0.07089674245152208,0.0483001068766628,0.9744334689134224,0.988399071925754
0.07220216654241085,0.04956942690270288,0.9761766414875073,0.9860788863109049
0.07208865515335842,0.048155875344361575,0.979081929110982,0.988399071925754
0.06193327344954014,0.05262654381138938,0.9848925043579314,0.9860788863109049
0.06751897068763221,0.04651323785739286,0.9819872167344567,0.988399071925754
