epoch,loss,accuracy,val_loss,val_accuracy
1,1.4311580250902873,0.41747967479674797,1.2368971287430106,0.49188311688311687
2,0.8386714577674865,0.6943089430894309,0.612412156996789,0.7840909090909091
3,0.6189599744672698,0.7776422764227642,0.6844584554820866,0.7775974025974026
4,0.5609081450032025,0.8040650406504065,0.6150237585042978,0.8116883116883117
5,0.5249116558854173,0.8170731707317073,0.5240048123644544,0.8376623376623377
6,0.471438160659821,0.8365853658536585,0.6443259375435966,0.7678571428571429
7,0.41148724459051117,0.8630081300813008,0.708454741285993,0.7597402597402597
8,0.3788861247339869,0.8666666666666667,0.5712354525730208,0.8246753246753247
9,0.3565114822329544,0.8731707317073171,0.43690666749879914,0.8538961038961039
10,0.31627507115282666,0.8943089430894309,0.5104367361440287,0.8392857142857143
11,0.26783311331902093,0.906910569105691,0.5073195835212608,0.8538961038961039
12,0.2849905435631915,0.9036585365853659,0.6199429971831185,0.8198051948051948
13,0.28249927071051867,0.9048780487804878,0.5150643145883238,0.8409090909090909
14,0.16637544479311966,0.9414634146341463,0.490198649369277,0.8587662337662337
15,0.12734475100064666,0.9552845528455285,0.4855847203886354,0.875
16,0.11700441096492899,0.9573170731707317,0.5002640690896418,0.8717532467532467
17,0.10761080804636808,0.9650406504065041,0.5719255015447542,0.849025974025974
18,0.09028450528053733,0.9699186991869919,0.5120885689537247,0.8701298701298701
19,0.08091406919122711,0.9739837398373984,0.4995874348398927,0.8717532467532467
20,0.08877816410750393,0.9699186991869919,0.5219381618035304,0.8685064935064936
21,0.0795539935429891,0.9752032520325203,0.5422692910417334,0.8652597402597403
22,0.06891324382457065,0.9747967479674797,0.5456346315996987,0.8652597402597403
23,0.07360871787357136,0.974390243902439,0.5385883055724107,0.8636363636363636
24,0.07805711555832286,0.9747967479674797,0.5396900211835837,0.8668831168831169
25,0.06828352314821345,0.9752032520325203,0.5373486199162223,0.8685064935064936
26,0.07026242103155066,0.9752032520325203,0.5410322450198136,0.8685064935064936
27,0.06561735066986545,0.982520325203252,0.5426602077174496,0.8701298701298701
28,0.07603836158305649,0.9752032520325203,0.5438190667660205,0.8685064935064936
29,0.07606403160143674,0.9752032520325203,0.5439478727904233,0.8685064935064936
30,0.07423763171868111,0.9739837398373984,0.5423374725626661,0.8685064935064936
31,0.06449133992134555,0.9804878048780488,0.5423246149892931,0.8685064935064936
32,0.07112148447734554,0.973170731707317,0.54155097147087,0.8701298701298701
33,0.0722418715071872,0.9760162601626017,0.5414608391848478,0.8701298701298701
34,0.0643970726587908,0.9764227642276423,0.5412542529694446,0.8701298701298701
35,0.06858477840820948,0.9796747967479674,0.5411771547484707,0.8701298701298701
36,0.07543002681094942,0.9719512195121951,0.5408586701015373,0.8701298701298701
37,0.07286983882266332,0.9747967479674797,0.5408252973061103,0.8701298701298701
38,0.07486444056276384,0.9760162601626017,0.5410850427367471,0.8701298701298701
39,0.06544243989709189,0.9764227642276423,0.5410420105054781,0.8701298701298701
