epoch,loss,accuracy,val_loss,val_accuracy
1,1.1109286930502915,0.5975609756097561,0.6936796934573681,0.7483766233766234
2,0.5885268953272966,0.78130081300813,0.5397996701203384,0.8181818181818182
3,0.45655338899876047,0.8345528455284553,0.5346651603649188,0.810064935064935
4,0.3930731176360836,0.8626016260162601,0.48422290984686317,0.8262987012987013
5,0.33341023844432055,0.8857723577235772,0.51677338333873,0.8165584415584416
6,0.3228316878642493,0.8878048780487805,0.4937134501221892,0.823051948051948
7,0.26396966237362807,0.9065040650406504,0.468092088575487,0.8262987012987013
8,0.2624961704984913,0.9020325203252032,0.4738478838623344,0.8311688311688312
9,0.21020128690614934,0.9231707317073171,0.5371902755328587,0.8262987012987013
10,0.19224334804992366,0.9292682926829269,0.4947592279353699,0.8441558441558441
11,0.17735476052857996,0.9382113821138212,0.5062379268082705,0.8392857142857143
12,0.14138717113471613,0.9528455284552846,0.4724989223789859,0.8555194805194806
13,0.11969761664305276,0.9589430894308943,0.491831116088025,0.8457792207792207
14,0.10790964321998077,0.9642276422764228,0.45348565880354347,0.8506493506493507
15,0.11646014359908376,0.9609756097560975,0.4271479446392555,0.8701298701298701
16,0.11205494895698578,0.9597560975609756,0.4407177815189609,0.862012987012987
17,0.10125186072617043,0.967479674796748,0.4525709810195031,0.8571428571428571
18,0.10134211267397655,0.9691056910569106,0.45606736935578385,0.8668831168831169
19,0.08181965215419366,0.9788617886178862,0.45109540301483947,0.8652597402597403
20,0.09369789811411525,0.9662601626016261,0.43575570219522947,0.8717532467532467
21,0.08492947841078285,0.9711382113821139,0.4448775037542566,0.8652597402597403
22,0.07529831808514711,0.9760162601626017,0.44724249859134874,0.8685064935064936
23,0.07873410034349294,0.975609756097561,0.44708954591255684,0.8685064935064936
24,0.0739069734283579,0.9768292682926829,0.4412399882620031,0.8766233766233766
25,0.07723237124642705,0.9784552845528456,0.45662342186097976,0.8717532467532467
26,0.07991289457654566,0.9772357723577236,0.4600429999363887,0.8636363636363636
27,0.08249440688064427,0.9747967479674797,0.45539097623391583,0.8717532467532467
28,0.0811932051811761,0.9768292682926829,0.46050734140656213,0.8701298701298701
29,0.08269485854884473,0.9739837398373984,0.4584846490776384,0.8733766233766234
30,0.07570650810148657,0.9784552845528456,0.45660019385350215,0.8701298701298701
31,0.0792561554932982,0.9747967479674797,0.4539357644396943,0.8685064935064936
32,0.09846988365175278,0.9691056910569106,0.4604640574037255,0.8636363636363636
33,0.08175551514557707,0.9695121951219512,0.4528926779310425,0.8668831168831169
34,0.07981199619428414,0.9739837398373984,0.44028665376948073,0.8717532467532467
35,0.08124224727715904,0.9735772357723578,0.4528537444867097,0.8701298701298701
36,0.0808346647678352,0.973170731707317,0.44691640235386887,0.8636363636363636
37,0.07613237461877789,0.9747967479674797,0.45614115216515283,0.8717532467532467
38,0.07533803882637644,0.9760162601626017,0.4528862955895337,0.8701298701298701
39,0.06733020723956387,0.9813008130081301,0.4459285372263425,0.8717532467532467
40,0.08067410944438562,0.9760162601626017,0.4614145689970487,0.8636363636363636
41,0.0890986353401246,0.9723577235772358,0.4584677811566885,0.875
42,0.07936680415660385,0.9772357723577236,0.4654792707848859,0.8668831168831169
43,0.08298988703305159,0.9764227642276423,0.4542774914147018,0.8685064935064936
44,0.08054692048004003,0.9768292682926829,0.4530151989552882,0.8652597402597403
45,0.08093094561642748,0.9764227642276423,0.4643763553399544,0.8571428571428571
